0.014585, -0.007962
1.000000, 0.000000

0.015288, -0.008175
1.000000, 0.000080

0.015979, -0.008380
1.000000, 0.000160

0.016658, -0.008580
1.000000, 0.000240

0.017325, -0.008774
1.000000, 0.000319

0.017982, -0.008962
1.000000, 0.000399

0.018630, -0.009146
1.000000, 0.000479

0.019268, -0.009325
1.000000, 0.000559

0.019898, -0.009500
1.000000, 0.000639

0.020519, -0.009671
1.000000, 0.000719

0.021133, -0.009838
1.000000, 0.000799

0.021739, -0.010003
1.000000, 0.000878

0.022339, -0.010163
1.000000, 0.000958

0.022932, -0.010321
0.999999, 0.001038

0.023518, -0.010476
0.999999, 0.001118

0.024099, -0.010628
0.999999, 0.001198

0.024674, -0.010778
0.999999, 0.001278

0.025243, -0.010926
0.999999, 0.001357

0.025807, -0.011071
0.999999, 0.001437

0.026365, -0.011213
0.999999, 0.001517

0.026919, -0.011354
0.999999, 0.001597

0.027468, -0.011493
0.999999, 0.001677

0.028013, -0.011630
0.999998, 0.001757

0.028553, -0.011765
0.999998, 0.001837

0.029089, -0.011898
0.999998, 0.001916

0.029621, -0.012030
0.999998, 0.001996

0.030149, -0.012159
0.999998, 0.002076

0.030673, -0.012288
0.999998, 0.002156

0.031193, -0.012415
0.999998, 0.002236

0.031709, -0.012540
0.999997, 0.002316

0.032223, -0.012664
0.999997, 0.002396

0.032732, -0.012787
0.999997, 0.002475

0.033239, -0.012909
0.999997, 0.002555

0.033742, -0.013029
0.999997, 0.002635

0.034242, -0.013148
0.999996, 0.002715

0.034739, -0.013266
0.999996, 0.002795

0.035233, -0.013382
0.999996, 0.002875

0.035724, -0.013498
0.999996, 0.002954

0.036213, -0.013612
0.999995, 0.003034

0.036698, -0.013726
0.999995, 0.003114

0.037181, -0.013838
0.999995, 0.003194

0.037661, -0.013950
0.999995, 0.003274

0.038139, -0.014061
0.999994, 0.003354

0.038614, -0.014170
0.999994, 0.003434

0.039087, -0.014279
0.999994, 0.003513

0.039558, -0.014387
0.999994, 0.003593

0.040026, -0.014494
0.999993, 0.003673

0.040492, -0.014600
0.999993, 0.003753

0.040956, -0.014706
0.999993, 0.003833

0.041417, -0.014810
0.999992, 0.003913

0.041876, -0.014914
0.999992, 0.003993

0.042334, -0.015017
0.999992, 0.004072

0.042789, -0.015120
0.999991, 0.004152

0.043242, -0.015221
0.999991, 0.004232

0.043693, -0.015322
0.999991, 0.004312

0.044143, -0.015423
0.999990, 0.004392

0.044590, -0.015523
0.999990, 0.004472

0.045035, -0.015622
0.999990, 0.004551

0.045479, -0.015720
0.999989, 0.004631

0.045921, -0.015818
0.999989, 0.004711

0.046361, -0.015915
0.999989, 0.004791

0.046800, -0.016011
0.999988, 0.004871

0.047237, -0.016108
0.999988, 0.004951

0.047672, -0.016203
0.999987, 0.005031

0.048105, -0.016298
0.999987, 0.005110

0.048537, -0.016392
0.999987, 0.005190

0.048967, -0.016486
0.999986, 0.005270

0.049396, -0.016579
0.999986, 0.005350

0.049823, -0.016672
0.999985, 0.005430

0.050249, -0.016764
0.999985, 0.005510

0.050673, -0.016856
0.999984, 0.005590

0.051096, -0.016947
0.999984, 0.005669

0.051517, -0.017038
0.999983, 0.005749

0.051937, -0.017128
0.999983, 0.005829

0.052355, -0.017218
0.999983, 0.005909

0.052772, -0.017308
0.999982, 0.005989

0.053188, -0.017397
0.999982, 0.006069

0.053603, -0.017485
0.999981, 0.006148

0.054016, -0.017573
0.999981, 0.006228

0.054428, -0.017661
0.999980, 0.006308

0.054838, -0.017748
0.999980, 0.006388

0.055247, -0.017835
0.999979, 0.006468

0.055655, -0.017922
0.999979, 0.006548

0.056062, -0.018008
0.999978, 0.006628

0.056468, -0.018094
0.999978, 0.006707

0.056872, -0.018179
0.999977, 0.006787

0.057276, -0.018264
0.999976, 0.006867

0.057678, -0.018348
0.999976, 0.006947

0.058079, -0.018433
0.999975, 0.007027

0.058479, -0.018516
0.999975, 0.007107

0.058877, -0.018600
0.999974, 0.007187

0.059275, -0.018683
0.999974, 0.007266

0.059672, -0.018766
0.999973, 0.007346

0.060067, -0.018848
0.999972, 0.007426

0.060462, -0.018931
0.999972, 0.007506

0.060855, -0.019012
0.999971, 0.007586

0.061247, -0.019094
0.999971, 0.007666

0.061639, -0.019175
0.999970, 0.007745

0.062029, -0.019256
0.999969, 0.007825

0.062418, -0.019337
0.999969, 0.007905

