0.00000000e+00, 0.00000000e+00
-9.21715352e+00, 7.20805416e+00
3.90260828e+00, 1.14092385e+01
-8.38298544e+00, -2.95594794e+00
-9.29096450e+00, -7.83266768e-01
-2.18020578e+00, -1.04536270e+01
3.39073799e-01, 7.57391672e+00
-6.72982158e+00, 4.82950738e+00
2.47603059e+00, 1.22468309e+01
-3.01217122e+00, 1.01246235e+01
9.82212672e+00, -1.69857435e+00
1.26321487e+00, -1.00546839e+01
-5.35135909e+00, 7.13219763e+00
7.45387602e+00, -2.45825609e+00
-4.38878913e+00, -7.23382489e+00
7.75904842e+00, 9.81308136e-01
8.54358542e+00, -1.59611346e+00
-8.55933010e+00, -2.18301739e+00
-4.97442899e+00, -8.74714359e+00
8.81241750e+00, -4.02520610e+00
-6.43373610e-01, -8.89823826e+00
5.51111338e+00, 9.44965957e+00
-5.63148705e+00, 1.01939098e+01
-3.58612857e+00, -8.52851110e+00
6.80489517e+00, -8.36913494e+00
3.75572125e+00, -8.71757434e+00
2.11255068e+00, 9.68472301e+00
6.04205098e+00, -5.60028642e+00
-2.05457363e+00, 1.03969206e+01
1.45642629e+00, 9.62560733e+00
-8.89891793e+00, 5.15104674e+00
5.62977372e+00, 5.70610150e+00
1.14012302e+01, -4.93575930e+00
-7.63067776e+00, 8.26495508e+00
3.66284966e-01, 1.04160042e+01
2.19120154e+00, -7.82642015e+00
7.48849515e+00, -2.42920618e+00
5.23344724e-01, 8.36469751e+00
1.05570832e+01, -2.19480411e+00
5.27275061e+00, 5.97307306e+00
2.20656586e+00, 7.53300867e+00
3.61983898e-01, -1.03602713e+01
3.53843953e+00, 1.19886881e+01
1.17755413e+01, 4.16072397e+00
6.65857560e+00, -3.49655896e+00
-6.46287459e+00, 5.23272506e+00
-8.79490599e+00, -3.00923884e+00
8.86280224e+00, 6.40837976e+00
9.01064150e+00, -4.42000542e-01
-7.75053855e+00, -8.13912268e+00
1.04062514e+01, -5.27351725e+00
-4.83654066e-01, -1.23877326e+01
-1.08327771e+01, 1.87614056e-01
1.05741261e+01, 5.55560617e+00
1.39218163e+00, 1.05559900e+01
1.06498429e+00, 9.08165433e+00
-5.01682212e+00, -7.00758743e+00
-8.52959710e+00, -2.54159646e+00
-8.23813856e+00, -5.41310870e+00
5.28708035e+00, -7.50675814e+00
-7.51494349e+00, -5.34985859e+00
